Entry,TRYName,matchType,Confidence,GBIFStatus,rank,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Notes
738,Bactris mexicana,EXACT,100,ACCEPTED,SPECIES,Bactris mexicana,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
739,Bactris panamensis,EXACT,100,ACCEPTED,SPECIES,Bactris panamensis,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,Palm,
740,Bactris riparia,EXACT,100,ACCEPTED,SPECIES,Bactris riparia,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
741,Bactris simplicifrons,EXACT,99,ACCEPTED,SPECIES,Bactris simplicifrons,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
742,Bactris sp,HIGHERRANK,95,ACCEPTED,GENUS,Bactris,Bactris,Arecaceae,Arecales,Liliopsida,Tracheophyta,,
743,Badiera jamaicensis,EXACT,100,SYNONYM,SPECIES,Polygala jamaicensis,Polygala,Polygalaceae,Fabales,Magnoliopsida,Tracheophyta,,
744,Badiera penaea,EXACT,100,ACCEPTED,SPECIES,Badiera penaea,Badiera,Polygalaceae,Fabales,Magnoliopsida,Tracheophyta,,
745,Bagassa guianensis,EXACT,100,ACCEPTED,SPECIES,Bagassa guianensis,Bagassa,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,
746,Bajorazinho sp,HIGHERRANK,99,ACCEPTED,KINGDOM,,,,,,,,Common name provided but it is misspelt; cannot infer the correct name
747,Balbisia stitchkinii,EXACT,100,ACCEPTED,SPECIES,Balbisia stitchkinii,Balbisia,Vivianiaceae,Geraniales,Magnoliopsida,Tracheophyta,,
748,Balfourodendron molle,EXACT,100,ACCEPTED,SPECIES,Balfourodendron molle,Balfourodendron,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,Tree,Life form obtained from: Fernandes MF; Cardoso D; de Queiroz LP. 2020. An updated plant checklist of the Brazilian Caatinga seasonally dry forests and woodlands reveals high species richness and endemism. J. Arid Environ. 174: 104079. doi:10.1016/j.jaridenv.2019.104079.
749,Balfourodendron riedelianum,EXACT,100,ACCEPTED,SPECIES,Balfourodendron riedelianum,Balfourodendron,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,,
750,Balizia elegans,EXACT,100,ACCEPTED,SPECIES,Balizia elegans,Balizia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
751,Balizia pedicellaris,EXACT,100,SYNONYM,SPECIES,Balizia pedicellaris,Balizia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
752,Bamboo,MANUAL,96,ACCEPTED,GENUS,Guadua,Guadua,Poaceae,Poales,Liliopsida,Tracheophyta,Bamboo,Common name provided; used literature and location to assign name
753,Bambusa vulgaris,EXACT,99,ACCEPTED,SPECIES,Bambusa vulgaris,Bambusa,Poaceae,Poales,Liliopsida,Tracheophyta,Bamboo,
754,Banara guianensis,EXACT,100,ACCEPTED,SPECIES,Banara guianensis,Banara,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
755,Banara nitida,EXACT,99,ACCEPTED,SPECIES,Banara nitida,Banara,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
756,Banara portoricensis,EXACT,100,ACCEPTED,SPECIES,Banara portoricensis,Banara,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
757,Banara vanderbiltii,EXACT,100,ACCEPTED,SPECIES,Banara vanderbiltii,Banara,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
758,Banisteriopsis campestris,EXACT,100,ACCEPTED,SPECIES,Banisteriopsis campestris,Banisteriopsis,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
759,Banisteriopsis cornifolia,EXACT,100,SYNONYM,SPECIES,Bronwenia cornifolia,Bronwenia,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
760,Banisteriopsis megaphylla,EXACT,100,ACCEPTED,SPECIES,Banisteriopsis megaphylla,Banisteriopsis,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
761,Banisteriopsis muricata,EXACT,100,ACCEPTED,SPECIES,Banisteriopsis muricata,Banisteriopsis,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
762,Banisteriopsis sp,HIGHERRANK,95,ACCEPTED,GENUS,Banisteriopsis,Banisteriopsis,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
763,Barbacenia flava,EXACT,99,ACCEPTED,SPECIES,Barbacenia flava,Barbacenia,Velloziaceae,Pandanales,Liliopsida,Tracheophyta,,
764,Barbacenia gounelleana,EXACT,100,ACCEPTED,SPECIES,Barbacenia gounelleana,Barbacenia,Velloziaceae,Pandanales,Liliopsida,Tracheophyta,,
765,Barbatinao,MANUAL,100,ACCEPTED,SPECIES,Stryphnodendron pulcherrimum,Stryphnodendron,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Tree,Common name provided; assumed fava-barbatimao; used literature and location to assign species
766,Barjonia erecta,EXACT,100,ACCEPTED,SPECIES,Barjonia erecta,Barjonia,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,,
767,Barnadesia dombeyana,EXACT,100,ACCEPTED,SPECIES,Barnadesia dombeyana,Barnadesia,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,
768,Barnebya harleyi,EXACT,100,ACCEPTED,SPECIES,Barnebya harleyi,Barnebya,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,
769,Bastardiopsis eggersii,EXACT,100,ACCEPTED,SPECIES,Bastardiopsis eggersii,Bastardiopsis,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,
770,Batesia floribunda,EXACT,99,ACCEPTED,SPECIES,Batesia floribunda,Batesia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
771,Bathysa australis,EXACT,100,ACCEPTED,SPECIES,Bathysa australis,Bathysa,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,,
772,Bathysa mendoncae,EXACT,100,ACCEPTED,SPECIES,Bathysa mendoncae,Bathysa,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,,
773,Bathysa mendoncaei,EXACT,100,ACCEPTED,SPECIES,Bathysa mendoncae,Bathysa,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,,
774,Batocarpus amazonicus,EXACT,100,ACCEPTED,SPECIES,Batocarpus amazonicus,Batocarpus,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,
775,Batocarpus costaricensis,EXACT,100,ACCEPTED,SPECIES,Batocarpus costaricensis,Batocarpus,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,
776,Batocarpus orinocensis,EXACT,100,ACCEPTED,SPECIES,Batocarpus orinocensis,Batocarpus,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,
777,Bauhinia acuruana,EXACT,100,ACCEPTED,SPECIES,Bauhinia acuruana,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Shrub,Life form obtained from: Fernandes MF; Cardoso D; de Queiroz LP. 2020. An updated plant checklist of the Brazilian Caatinga seasonally dry forests and woodlands reveals high species richness and endemism. J. Arid Environ. 174: 104079. doi:10.1016/j.jaridenv.2019.104079.
778,Bauhinia arborea,EXACT,100,ACCEPTED,SPECIES,Bauhinia arborea,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
779,Bauhinia brachycalyx,EXACT,100,ACCEPTED,SPECIES,Bauhinia brachycalyx,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
780,Bauhinia cheilantha,EXACT,99,ACCEPTED,SPECIES,Bauhinia cheilantha,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Tree,Life form obtained from: Fernandes MF; Cardoso D; de Queiroz LP. 2020. An updated plant checklist of the Brazilian Caatinga seasonally dry forests and woodlands reveals high species richness and endemism. J. Arid Environ. 174: 104079. doi:10.1016/j.jaridenv.2019.104079.
781,Bauhinia divaricata,EXACT,99,ACCEPTED,SPECIES,Bauhinia divaricata,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
782,Bauhinia dubia,EXACT,99,ACCEPTED,SPECIES,Bauhinia dubia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
783,Bauhinia forficata,EXACT,100,ACCEPTED,SPECIES,Bauhinia forficata,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
784,Bauhinia glabra,EXACT,99,SYNONYM,SPECIES,Schnella glabra,Schnella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
785,Bauhinia guianensis,EXACT,99,SYNONYM,SPECIES,Schnella guianensis,Schnella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
786,Bauhinia holophylla,EXACT,99,ACCEPTED,SPECIES,Bauhinia rufa,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,NGEE-Tropics entry
787,Bauhinia hymenaeifolia,EXACT,99,SYNONYM,SPECIES,Schnella hymenaeifolia,Schnella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
788,Bauhinia jarensis,MANUAL,96,ACCEPTED,GENUS,Bauhinia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Epithet misspelt; kept the genus as it is common at the sampling location
789,Bauhinia lisagroovy,MANUAL,96,ACCEPTED,GENUS,Bauhinia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Epithet misspelt; kept the genus as it is common at the sampling location
790,Bauhinia longifolia,EXACT,99,ACCEPTED,SPECIES,Bauhinia longifolia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
791,Bauhinia megalandra,EXACT,100,ACCEPTED,SPECIES,Bauhinia multinervia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,NGEE-Tropics entry
792,Bauhinia multinervia,EXACT,100,ACCEPTED,SPECIES,Bauhinia multinervia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
793,Bauhinia pauletia,EXACT,100,ACCEPTED,SPECIES,Bauhinia pauletia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
794,Bauhinia pulchella,EXACT,100,ACCEPTED,SPECIES,Bauhinia pulchella,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
795,Bauhinia purpurea,EXACT,99,ACCEPTED,SPECIES,Bauhinia purpurea,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
796,Bauhinia reflexa,EXACT,100,SYNONYM,SPECIES,Schnella reflexa,Schnella,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
797,Bauhinia rufa,EXACT,99,ACCEPTED,SPECIES,Bauhinia rufa,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
798,Bauhinia sp,EXACT,80,ACCEPTED,GENUS,Bauhinia,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
799,Bauhinia tarapotensis,EXACT,99,ACCEPTED,SPECIES,Bauhinia tarapotensis,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
800,Bauhinia ungulata,EXACT,100,ACCEPTED,SPECIES,Bauhinia ungulata,Bauhinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,
