TRYName,Duplicated,Confidence,WFOMatchedName,WFOStatus,WFOAccepted,GBIFstatus,AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,GrowthForm,Sources,Notes
Maprounea guianensis,FALSE,1.00,Maprounea guianensis,Accepted,Maprounea guianensis,ACCEPTED,Maprounea guianensis,Maprounea,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maquira,FALSE,1.00,Maquira,Accepted,Maquira,ACCEPTED,Maquira,Maquira,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maquira calophylla,FALSE,1.00,Maquira calophylla,Accepted,Maquira calophylla,ACCEPTED,Maquira calophylla,Maquira,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maquira coriacea,FALSE,1.00,Maquira coriacea,Accepted,Maquira coriacea,ACCEPTED,Maquira coriacea,Maquira,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maquira guianensis,FALSE,1.00,Maquira guianensis,Accepted,Maquira guianensis,ACCEPTED,Maquira guianensis,Maquira,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maquira guianensis subsp. costaricana,FALSE,1.00,Maquira guianensis subsp. costaricana,Accepted,Maquira guianensis,ACCEPTED,Maquira guianensis,Maquira,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,Excluded subspecies information (subsp. costaricana)
Maquira indet,FALSE,0.9,Maquira,Accepted,Maquira,ACCEPTED,Maquira,Maquira,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maquira sclerophylla,FALSE,1.00,Maquira sclerophylla,Accepted,Maquira sclerophylla,ACCEPTED,Maquira sclerophylla,Maquira,Moraceae,Rosales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maranta,FALSE,1.00,Maranta,Accepted,Maranta,ACCEPTED,Maranta,Maranta,Marantaceae,Zingiberales,Liliopsida,Tracheophyta,,wfo;gbif,
Maranthes panamensis,FALSE,1.00,Maranthes panamensis,Accepted,Maranthes panamensis,ACCEPTED,Maranthes panamensis,Maranthes,Chrysobalanaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marattia excavata,FALSE,1.00,Marattia excavata,Accepted,Marattia excavata,ACCEPTED,Marattia excavata,Marattia,Marattiaceae,Marattiales,Polypodiopsida,Tracheophyta,,wfo;gbif,
Marattia laxa,FALSE,1.00,Marattia laxa,Accepted,Marattia laxa,ACCEPTED,Marattia laxa,Marattia,Marattiaceae,Marattiales,Polypodiopsida,Tracheophyta,,wfo;gbif,
Marcetia sp1,FALSE,0.90,Marcetia,Accepted,Marcetia,ACCEPTED,Marcetia,Marcetia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,gbif,
Marcetia taxifolia,FALSE,1.00,Marcetia taxifolia,Accepted,Marcetia taxifolia,ACCEPTED,Marcetia taxifolia,Marcetia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,gbif,
Marcgravia brownei,FALSE,1.00,Marcgravia brownei,Accepted,Marcgravia brownei,ACCEPTED,Marcgravia brownei,Marcgravia,Marcgraviaceae,Ericales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marcgravia nepenthoides,FALSE,1.00,Marcgravia nepenthoides,Accepted,Marcgravia nepenthoides,ACCEPTED,Marcgravia nepenthoides,Marcgravia,Marcgraviaceae,Ericales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marcgravia oblongifolia,FALSE,1.00,Marcgravia oblongifolia,Accepted,Marcgravia oblongifolia,ACCEPTED,Marcgravia oblongifolia,Marcgravia,Marcgraviaceae,Ericales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marcgravia rectiflora,FALSE,1.00,Marcgravia rectiflora,Accepted,Marcgravia rectiflora,ACCEPTED,Marcgravia rectiflora,Marcgravia,Marcgraviaceae,Ericales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marcgravia sintenisii,FALSE,1.00,Marcgravia sintenisii,Accepted,Marcgravia sintenisii,ACCEPTED,Marcgravia sintenisii,Marcgravia,Marcgraviaceae,Ericales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marfim preto,FALSE,0.31,Rauvolfia pentaphylla,Accepted,Rauvolfia pentaphylla,ACCEPTED,Rauvolfia pentaphylla,Rauvolfia,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Margaritaria,FALSE,1.00,Margaritaria,Accepted,Margaritaria,ACCEPTED,Margaritaria,Margaritaria,Phyllanthaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Margaritaria nobilis,FALSE,1.00,Margaritaria nobilis,Accepted,Margaritaria nobilis,ACCEPTED,Margaritaria nobilis,Margaritaria,Phyllanthaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marila laxiflora,FALSE,1.00,Marila laxiflora,Accepted,Marila laxiflora,ACCEPTED,Marila laxiflora,Marila,Calophyllaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marila pluricostata,FALSE,1.00,Marila pluricostata,Accepted,Marila pluricostata,SYNONYM,Marila podantha,Marila,Calophyllaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marila puntorojo,FALSE,0.21,Marila,Accepted,Marila,ACCEPTED,Marila,Marila,Calophyllaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location
Marila tomentosa,FALSE,1.00,Marila tomentosa,Accepted,Marila tomentosa,ACCEPTED,Marila tomentosa,Marila,Calophyllaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Mariosousa dolichostachya,FALSE,1,Mariosousa dolichostachya,Accepted,Mariosousa dolichostachya,ACCEPTED,Mariosousa dolichostachya,Mariosousa,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Mariosousa usumacintensis,FALSE,1,Mariosousa usumacintensis,Accepted,Mariosousa usumacintensis,ACCEPTED,Mariosousa usumacintensis,Mariosousa,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maripa panamensis,FALSE,1.00,Maripa panamensis,Accepted,Maripa panamensis,ACCEPTED,Maripa panamensis,Maripa,Convolvulaceae,Solanales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maripa scandens,FALSE,1.00,Maripa scandens,Accepted,Maripa scandens,ACCEPTED,Maripa scandens,Maripa,Convolvulaceae,Solanales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Markea coccinea,FALSE,1.00,Markea coccinea,Accepted,Markea coccinea,ACCEPTED,Markea coccinea,Markea,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Markea ulei,FALSE,1.00,Markea ulei,Accepted,Markea ulei,SYNONYM,Hawkesiophyton ulei,Hawkesiophyton,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marlierea obscura,FALSE,1.00,Marlierea obscura,Accepted,Marlierea obscura,SYNONYM,Myrcia neoobscura,Myrcia,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,gbif,
Marlierea schomburgkiana,FALSE,1.00,Marlierea schomburgkiana,Accepted,Marlierea schomburgkiana,SYNONYM,Myrcia neoschomburgkiana,Myrcia,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marlierea silvatica,FALSE,0.98,Marlierea sylvatica,Accepted,Marlierea sylvatica,SYNONYM,Myrcia ferruginosa,Myrcia,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,gbif,
Marlierea silvestris,FALSE,1.00,Marlierea silvestris,Accepted,Marlierea silvestris,SYNONYM,Plinia silvestris,Plinia,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marlierea tomentosa,FALSE,1.00,Marlierea tomentosa,Accepted,Marlierea tomentosa,SYNONYM,Myrcia neotomentosa,Myrcia,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marlierea velutina,FALSE,1,Marlierea velutina,Accepted,Marlierea velutina,SYNONYM,Myrcia neovelutina,Myrcia,Myrtaceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marmaroxylon basijugum,FALSE,1.00,Marmaroxylon basijugum,Accepted,Marmaroxylon basijugum,SYNONYM,Zygia basijuga,Zygia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marmaroxylon claviflorum,FALSE,1.00,Marmaroxylon claviflorum,Accepted,Marmaroxylon claviflorum,SYNONYM,Zygia claviflora,Zygia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marmaroxylon dinizii,FALSE,1.00,Marmaroxylon dinizii,Accepted,Marmaroxylon dinizii,SYNONYM,Zygia dinizii,Zygia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marmaroxylon racemosum,FALSE,1.00,Marmaroxylon racemosum,Accepted,Marmaroxylon racemosum,SYNONYM,Zygia racemosa,Zygia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marsdenia astephanoides,FALSE,1.00,Marsdenia astephanoides,Accepted,Marsdenia astephanoides,ACCEPTED,Marsdenia astephanoides,Marsdenia,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marsdenia crassipes,FALSE,1.00,Marsdenia crassipes,Accepted,Marsdenia crassipes,ACCEPTED,Marsdenia crassipes,Marsdenia,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Martinella obovata,FALSE,1.00,Martinella obovata,Accepted,Martinella obovata,ACCEPTED,Martinella obovata,Martinella,Bignoniaceae,Lamiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Martiodendron,FALSE,1.00,Martiodendron,Accepted,Martiodendron,ACCEPTED,Martiodendron,Martiodendron,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Marupa,FALSE,0.31,Simarouba amara,Accepted,Simarouba amara,ACCEPTED,Simarouba amara,Simarouba,Simaroubaceae,Sapindales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign name
Mascagnia ovatifolia,FALSE,1.00,Mascagnia ovatifolia,Accepted,Mascagnia ovatifolia,ACCEPTED,Mascagnia ovatifolia,Mascagnia,Malpighiaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Masdevallia livingstoneana,FALSE,1.00,Masdevallia livingstoneana,Accepted,Masdevallia livingstoneana,ACCEPTED,Masdevallia livingstoneana,Masdevallia,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Masdevallia nidifica,FALSE,1.00,Masdevallia nidifica,Accepted,Masdevallia nidifica,ACCEPTED,Masdevallia nidifica,Masdevallia,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Masdevallia rafaeliana,FALSE,1.00,Masdevallia rafaeliana,Accepted,Masdevallia rafaeliana,ACCEPTED,Masdevallia rafaeliana,Masdevallia,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
Mata calado,FALSE,0.31,Ryania angustifolia,Accepted,Ryania angustifolia,ACCEPTED,Ryania angustifolia,Ryania,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Mata mata branco,FALSE,0.31,Eschweilera pedicellata,Accepted,Eschweilera pedicellata,ACCEPTED,Eschweilera pedicellata,Eschweilera,Lecythidaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Mata mata preto,FALSE,0.31,Eschweilera coriacea,Accepted,Eschweilera coriacea,ACCEPTED,Eschweilera coriacea,Eschweilera,Lecythidaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Mata mata si,FALSE,0.31,Eschweilera coriacea,Accepted,Eschweilera coriacea,ACCEPTED,Eschweilera coriacea,Eschweilera,Lecythidaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; assumed matamata preto; used literature and location to assign species
Mata mata vermelho,FALSE,0.31,Eschweilera bracteosa,Accepted,Eschweilera bracteosa,ACCEPTED,Eschweilera bracteosa,Eschweilera,Lecythidaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Mata terra,FALSE,0.31,Miconia ruficalyx,Accepted,Miconia ruficalyx,ACCEPTED,Miconia ruficalyx,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,mlo,Misspelt common name (papa-terra); based on literature and GBIF given the coordinates 
Matamata,FALSE,0.21,Eschweilera,Accepted,Eschweilera,ACCEPTED,Eschweilera,Eschweilera,Lecythidaceae,Ericales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign genus; too many species with the same common name
Matayba,FALSE,1.00,Matayba,Accepted,Matayba,ACCEPTED,Matayba,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba apetala,FALSE,1.00,Matayba apetala,Accepted,Matayba apetala,ACCEPTED,Matayba apetala,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba arborescens,FALSE,1.00,Matayba arborescens,Accepted,Matayba arborescens,ACCEPTED,Matayba arborescens,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba domingensis,FALSE,1.00,Matayba domingensis,Accepted,Matayba domingensis,ACCEPTED,Matayba domingensis,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba elaeagnoides,FALSE,1.00,Matayba elaeagnoides,Accepted,Matayba elaeagnoides,ACCEPTED,Matayba elaeagnoides,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba guianensis,FALSE,1.00,Matayba guianensis,Accepted,Matayba guianensis,ACCEPTED,Matayba guianensis,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba inelegans,FALSE,1.00,Matayba inelegans,Accepted,Matayba inelegans,ACCEPTED,Matayba inelegans,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba laevigata,FALSE,1.00,Matayba laevigata,Accepted,Matayba laevigata,ACCEPTED,Matayba laevigata,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba ocho,FALSE,0.21,Matayba,Accepted,Matayba,ACCEPTED,Matayba,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location
Matayba oppositifolia,FALSE,1.00,Matayba oppositifolia,Accepted,Matayba oppositifolia,ACCEPTED,Matayba oppositifolia,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba purgans,FALSE,1.00,Matayba purgans,Accepted,Matayba purgans,ACCEPTED,Matayba purgans,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba scrobiculata,FALSE,1.00,Matayba scrobiculata,Accepted,Matayba scrobiculata,ACCEPTED,Matayba scrobiculata,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matayba sp1,FALSE,0.90,Matayba,Accepted,Matayba,ACCEPTED,Matayba,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,gbif,
Matayba sp2,FALSE,0.90,Matayba,Accepted,Matayba,ACCEPTED,Matayba,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,gbif,
Matayba spruceana,FALSE,1.00,Matayba spruceana,Accepted,Matayba spruceana,ACCEPTED,Matayba spruceana,Matayba,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,gbif,
Matisia bracteolosa,FALSE,1.00,Matisia bracteolosa,Accepted,Matisia bracteolosa,ACCEPTED,Matisia bracteolosa,Matisia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matisia longiflora,FALSE,1.00,Matisia longiflora,Accepted,Matisia longiflora,ACCEPTED,Matisia longiflora,Matisia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Matisia oblongifolia,FALSE,1.00,Matisia oblongifolia,Accepted,Matisia oblongifolia,ACCEPTED,Matisia oblongifolia,Matisia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Mauritia flexuosa,FALSE,1.00,Mauritia flexuosa,Accepted,Mauritia flexuosa,ACCEPTED,Mauritia flexuosa,Mauritia,Arecaceae,Arecales,Liliopsida,Tracheophyta,,wfo;gbif,
Mauritiella armata,FALSE,1.00,Mauritiella armata,Accepted,Mauritiella armata,ACCEPTED,Mauritiella armata,Mauritiella,Arecaceae,Arecales,Liliopsida,Tracheophyta,,wfo;gbif,
Maxillariella acervata,FALSE,1.00,Maxillariella acervata,Accepted,Maxillariella acervata,SYNONYM,Maxillaria acervata,Maxillaria,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,,wfo;gbif,
May anelio,FALSE,0.21,Mayna,Accepted,Mayna,ACCEPTED,Mayna,Mayna,Achariaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location; genus was affected by removal of NA by contributing author
May odorata,FALSE,0.31,Mayna odorata,Accepted,Mayna odorata,ACCEPTED,Mayna odorata,Mayna,Achariaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Some sources manually removed NA from data sources; affecting the scientific names
Mayna anelio,FALSE,0.21,Mayna,Accepted,Mayna,ACCEPTED,Mayna,Mayna,Achariaceae,Malpighiales,Magnoliopsida,Tracheophyta,,mlo,Epithet misspelt; kept the genus as it is common at the sampling location
Mayna odorata,FALSE,1.00,Mayna odorata,Accepted,Mayna odorata,ACCEPTED,Mayna odorata,Mayna,Achariaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Mayna parvifolia,FALSE,1.00,Mayna parvifolia,Accepted,Mayna parvifolia,SYNONYM,Casearia maynacarpa,Casearia,Salicaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus,FALSE,1.00,Maytenus,Accepted,Maytenus,ACCEPTED,Maytenus,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus ala,FALSE,0.31,Maytenus alaternoides,Accepted,Maytenus alaternoides,ACCEPTED,Maytenus alaternoides,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,mlo,Epithet likely truncated
Maytenus albata,FALSE,1.00,Maytenus,Accepted,Maytenus,ACCEPTED,Maytenus,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,mlo;gbif,Species is accepted according to GBIF but native from Africa; sample is from Ecuador
Maytenus b1,FALSE,0.90,Maytenus,Accepted,Maytenus,ACCEPTED,Maytenus,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,gbif;wfo,NGEE-Tropics entry
Maytenus boaria,FALSE,1.00,Maytenus boaria,Accepted,Maytenus boaria,ACCEPTED,Maytenus boaria,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,gbif,
Maytenus cardenasii,FALSE,1.00,Maytenus cardenasii,Accepted,Maytenus cardenasii,ACCEPTED,Maytenus cardenasii,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus clarendonensis,FALSE,1.00,Maytenus clarendonensis,Synonym,Monteverdia clarendonensis,ACCEPTED,Monteverdia clarendonensis,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Synonym according to GBIF; WFO does not recognise genus Monteverdia which seems a recent name
Maytenus distichophylla,FALSE,1.00,Maytenus distichophylla,Accepted,Maytenus distichophylla,ACCEPTED,Maytenus distichophylla,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus ebenifolia,FALSE,1.00,Maytenus ebenifolia,Accepted,Maytenus ebenifolia,SYNONYM,Monteverdia ebenifolia,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus elongata,FALSE,1.00,Maytenus elongata,Synonym,Monteverdia elongata,ACCEPTED,Monteverdia elongata,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Synonym according to GBIF; WFO does not recognise genus Monteverdia which seems a recent name
Maytenus erythroxyla,FALSE,0.97,Maytenus erythroxylon,No opinion,,SYNONYM,Monteverdia erythroxylon,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,gbif,
Maytenus erythroxylon,FALSE,1.00,Maytenus erythroxylon,Synonym,Monteverdia erythroxylon,ACCEPTED,Monteverdia erythroxylon,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Synonym according to GBIF; WFO does not recognise genus Monteverdia which seems a recent name
Maytenus evonymoides,FALSE,1.00,Maytenus evonymoides,Accepted,Maytenus evonymoides,SYNONYM,Monteverdia evonymoides,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,gbif,
Maytenus gonoclada,FALSE,1.00,Maytenus gonoclada,Accepted,Maytenus gonoclada,ACCEPTED,Monteverdia gonoclada,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,gbif,
Maytenus guyanensis,FALSE,1.00,Maytenus guyanensis,Accepted,Maytenus guyanensis,ACCEPTED,Maytenus guyanensis,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus ilicifolia,FALSE,1.00,Maytenus ilicifolia,Accepted,Maytenus ilicifolia,ACCEPTED,Maytenus,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus jamaicensis,FALSE,1.00,Maytenus jamaicensis,Synonym,Monteverdia jamaicensis,ACCEPTED,Monteverdia jamaicensis,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Synonym according to GBIF; WFO does not recognise genus Monteverdia which seems a recent name
Maytenus karstenii,FALSE,1.00,Maytenus karstenii,Accepted,Maytenus karstenii,SYNONYM,Monteverdia karstenii,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus littoralis,FALSE,1,Maytenus littoralis,No opinion,Maytenus littoralis,SYNONYM,Monteverdia littoralis,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus macrocarpa,FALSE,1.00,Maytenus macrocarpa,Accepted,Maytenus macrocarpa,SYNONYM,Monteverdia macrocarpa,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus myrsinoides,FALSE,1.00,Maytenus myrsinoides,Accepted,Maytenus myrsinoides,ACCEPTED,Maytenus,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus oblongata,FALSE,1.00,Maytenus oblongata,Accepted,Maytenus oblongata,SYNONYM,Monteverdia oblongata,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus obtusifolia,FALSE,1.00,Maytenus obtusifolia,Accepted,Maytenus obtusifolia,SYNONYM,Monteverdia obtusifolia,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus pittieriana,FALSE,1.00,Maytenus pittieriana,Accepted,Maytenus pittieriana,SYNONYM,Monteverdia pittieriana,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus ponceana,FALSE,1.00,Maytenus ponceana,Synonym,Monteverdia ponceana,ACCEPTED,Monteverdia ponceana,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif;mlo,Synonym according to GBIF; WFO does not recognise genus Monteverdia which seems a recent name
Maytenus rigida,FALSE,1.00,Maytenus rigida,Accepted,Maytenus rigida,SYNONYM,Monteverdia rigida,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,gbif,
Maytenus schippii,FALSE,1.00,Maytenus schippii,Accepted,Maytenus schippii,SYNONYM,Monteverdia schippii,Monteverdia,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus vexata,FALSE,1,Maytenus vexata,No opinion,,ACCEPTED,Maytenus vexata,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Maytenus woodsonii,FALSE,1.00,Maytenus woodsonii,Accepted,Maytenus woodsonii,ACCEPTED,Maytenus woodsonii,Maytenus,Celastraceae,Celastrales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Mecranium latifolium,FALSE,1.00,Mecranium latifolium,Accepted,Mecranium latifolium,SYNONYM,Miconia borinquensis,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Mecranium purpurascens,FALSE,1.00,Mecranium purpurascens,Accepted,Mecranium purpurascens,SYNONYM,Miconia ossaeiformis,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Mecranium virgatum,FALSE,1.00,Mecranium virgatum,Accepted,Mecranium virgatum,SYNONYM,Miconia virgata,Miconia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Medusantha martiusii,FALSE,,[No match found],,,ACCEPTED,Medusantha martiusii,Medusantha,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,gbif,
Meineckia bartlettii,FALSE,1,Meineckia bartlettii,Accepted,Meineckia bartlettii,ACCEPTED,Meineckia bartlettii,Meineckia,Phyllanthaceae,Malpighiales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Melancieira,FALSE,0.31,Alexa grandiflora,Accepted,Alexa grandiflora,ACCEPTED,Alexa grandiflora,Alexa,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Tree,mlo,Common name provided; used literature and location to assign species
Melanthera nivea,FALSE,1.00,Melanthera nivea,Accepted,Melanthera nivea,ACCEPTED,Melanthera nivea,Melanthera,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Melastoma bellucia,FALSE,0.21,Bellucia,Accepted,Bellucia,ACCEPTED,Bellucia,Bellucia,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,mlo,Bellucia is a genus within Melastomataceae; No epithet likely in genus Melastoma; Assumed genus is Bellucia but unable to identify species
Melastomataceae sp1,FALSE,0.90,Melastomataceae,Accepted,Melastomataceae,ACCEPTED,Melastomataceae,,Melastomataceae,Myrtales,Magnoliopsida,Tracheophyta,,gbif,Too generic description; inferred family
Melicoccus bijugatus,FALSE,1,Melicoccus bijugatus,Accepted,Melicoccus bijugatus,ACCEPTED,Melicoccus bijugatus,Melicoccus,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
Melicoccus novogranatensis,FALSE,1.00,Melicoccus novogranatensis,Accepted,Melicoccus novogranatensis,ACCEPTED,Melicoccus novogranatensis,Melicoccus,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,,wfo;gbif,
